station_key,canonical_name,outflow,inflow,net_inflow,throughput
5b9a2bca61950734,"Wandsworth Town Station, Wandsworth",59266.0,64858.0,5592.0,124124.0
ee9ba14cd5681406,"Ackroyd Drive, Bow",69209.0,63636.0,-5573.0,132845.0
f3e1d31cb847ddc1,"Sutton Street, Shadwell",94515.0,88963.0,-5552.0,183478.0
9c4a311362731671,"Lisson Grove, St. John's Wood",34969.0,29422.0,-5547.0,64391.0
2c15286165525dbc,"Frampton Street, Paddington",54386.0,48873.0,-5513.0,103259.0
a841c43c6d63fe32,"Ashley Place, Victoria",77783.0,83290.0,5507.0,161073.0
9d461f338fefa5e4,"Aintree Street, Fulham",69965.0,64464.0,-5501.0,134429.0
6e1f03169f652e18,"Christian Street, Whitechapel",58425.0,52948.0,-5477.0,111373.0
1e358fdb73a2acf0,"Hoxton Street, Hoxton",41194.0,35731.0,-5463.0,76925.0
cecf732613f566d5,"St. Peter's Terrace, Fulham",76432.0,70972.0,-5460.0,147404.0
fba0f003c0099586,"Dunston Road , Haggerston",112222.0,106766.0,-5456.0,218988.0
98ed891b966ff44b,"Saunders Ness Road, Cubitt Town",68072.0,73515.0,5443.0,141587.0
b63b3d8a341419e5,"Lord's, St. John's Wood",20741.0,15314.0,-5427.0,36055.0
662d1b3446dc142f,"St. John Street, Finsbury",41295.0,35884.0,-5411.0,77179.0
f6db58fe5d44f0f4,"Watney Street, Shadwell",71772.0,66367.0,-5405.0,138139.0
0b93e40c1dd2a4b4,"Saltoun Road, Brixton",78654.0,84051.0,5397.0,162705.0
f41a1a266720480b,"Wellington Road, St. John's Wood",60005.0,54648.0,-5357.0,114653.0
f9c78d0437ce0414,"High Holborn , Covent Garden",87227.0,92554.0,5327.0,179781.0
1e02cd0f75d1a015,"Westferry Circus, Canary Wharf",93210.0,98529.0,5319.0,191739.0
fb71ad0a3c24127f,"Clifton Road, Maida Vale",68439.0,63149.0,-5290.0,131588.0
2dfeee43774bd2f5,"Porchester Place, Paddington",107734.0,102454.0,-5280.0,210188.0
9fc8435b359819f8,"Godliman Street, St. Paul's",77731.0,82962.0,5231.0,160693.0
08d7c16c119d8f90,"Tanner Street, Bermondsey",96858.0,102069.0,5211.0,198927.0
9b1c1b7cf7898899,"Stamford Street, South Bank",66440.0,71648.0,5208.0,138088.0
bd5f760350d7991f,"Southerton Road, Hammersmith",58972.0,64174.0,5202.0,123146.0
c1d94312c8e7fec1,"Campden Hill Road, Notting Hill",29800.0,24636.0,-5164.0,54436.0
cdf83facb2c91dce,"George Street, Marylebone",68657.0,73817.0,5160.0,142474.0
28a7e41b2ed5a138,"Spanish Road, Clapham Junction",19905.0,14765.0,-5140.0,34670.0
90837d64432e5878,"New North Road 1, Hoxton",12433.0,7295.0,-5138.0,19728.0
173e55a6d87704c9,"Queen Victoria Street, St. Paul's",85154.0,90288.0,5134.0,175442.0
44df33c2b0f07b0b,"Regency Street, Westminster",71585.0,66462.0,-5123.0,138047.0
05580255f158d633,"Pindar Street, Liverpool Street",34125.0,39222.0,5097.0,73347.0
d6ecf0924779bf77,"Harcourt Terrace, West Brompton",85930.0,80861.0,-5069.0,166791.0
88e5458acd7474f7,"Cheshire Street, Bethnal Green",54954.0,49895.0,-5059.0,104849.0
ffbbcd92ab8a7f51,"Islington Green, Angel",179185.0,174142.0,-5043.0,353327.0
e481ee4827e3987b,"Ilchester Place, Kensington",27252.0,22247.0,-5005.0,49499.0
4e1668e10496fc4b,"Holy Trinity Brompton, Knightsbridge",72363.0,77350.0,4987.0,149713.0
1b39350a514430f8,"Harriet Street, Knightsbridge",73970.0,78942.0,4972.0,152912.0
c47bb579f7bf9646,"Shadwell Station, Shadwell",84879.0,79915.0,-4964.0,164794.0
559f67901ebab8d3,"Goldsmith's Row, Haggerston",93551.0,88589.0,-4962.0,182140.0
9554fefe541783bb,"Broadley Terrace, Marylebone",33983.0,29029.0,-4954.0,63012.0
7f369b4de01b5d57,"Phillimore Gardens, Kensington",95287.0,100222.0,4935.0,195509.0
c02e84107de2b7ef,"Bishop's Bridge Road East, Bayswater",34158.0,29229.0,-4929.0,63387.0
08136b45974271d3,"Great Percy Street, Clerkenwell",53580.0,48654.0,-4926.0,102234.0
c614aa9929181676,"Grosvenor Road, Pimlico",43394.0,38500.0,-4894.0,81894.0
fe03dbcd36366b8f,"Tavistock Place, Bloomsbury",67304.0,62419.0,-4885.0,129723.0
1af3a0e16ad3f9a3,"Clapham Common North Side, Clapham Common",82493.0,77662.0,-4831.0,160155.0
977e55e3003daa08,"Farm Street, Mayfair",35009.0,39822.0,4813.0,74831.0
f3dbd3f3dc8d047a,"Chapel Place, Marylebone",77172.0,81928.0,4756.0,159100.0
b5243dbe0e61281b,"St Mary's Hospital, Paddington",103267.0,98544.0,-4723.0,201811.0
688abb81522edc9c,"Butler Place, Westminster",51748.0,56467.0,4719.0,108215.0
019e8b7d83ed4e21,"Ampton Street , Clerkenwell",51828.0,47120.0,-4708.0,98948.0
59cc63db9c3b3b23,"Broadwick Street, Soho",95889.0,100580.0,4691.0,196469.0
fa4dc7553b6b8aee,"Moor Street, Soho",144940.0,149505.0,4565.0,294445.0
37fec88973a36c24,"Sardinia Street, Holborn",51408.0,55969.0,4561.0,107377.0
75d2db22fda6f731,"St. Martin's Street, West End",52185.0,56736.0,4551.0,108921.0
52b80af01901b76e,"Victoria & Albert Museum, South Kensington",41270.0,45819.0,4549.0,87089.0
24399f6cc9bcbab1,"Finsbury Library , Finsbury",46480.0,41952.0,-4528.0,88432.0
7461f9d78d587cf6,"Sadlers Sports Centre, Finsbury",70113.0,65617.0,-4496.0,135730.0
07f7bb5f82ce5293,"Westfield Southern Terrace ,Shepherd's Bush",34869.0,39357.0,4488.0,74226.0
2930aa3f7d860f5a,"Wellington Street , Strand",122548.0,127030.0,4482.0,249578.0
6b160da9a332571d,"Bishop's Bridge Road West, Bayswater",104592.0,100144.0,-4448.0,204736.0
5f6728bf87708209,"Cephas Street, Bethnal Green",57847.0,53418.0,-4429.0,111265.0
d37ce2e18c67eaf7,"Old Brompton Road, South Kensington",84235.0,79843.0,-4392.0,164078.0
dff235c7eb7dc56c,"Antill Road, Mile End",52168.0,47780.0,-4388.0,99948.0
d3e65cd48d6bb9b1,"Clarges Street, Mayfair",31225.0,35598.0,4373.0,66823.0
b79ef3649e45783e,"Warwick Avenue Station, Maida Vale",92396.0,88031.0,-4365.0,180427.0
a100a98ec0feb3be,"Calshot Street , King's Cross",32675.0,28311.0,-4364.0,60986.0
9c185dbfb764cf5f,"Concert Hall Approach 2, South Bank",39760.0,44119.0,4359.0,83879.0
62cef2ebd02561b2,"Albert Square, Stockwell",77977.0,73661.0,-4316.0,151638.0
7f993811a0acc47b,"Old Ford Road, Bethnal Green",51207.0,46901.0,-4306.0,98108.0
159f93995c29e618,"Tower Gardens , Tower",177345.0,181641.0,4296.0,358986.0
cd429b14ace9dd25,"Westbourne Grove, Bayswater",74075.0,69782.0,-4293.0,143857.0
66d963ef70ff6132,"Kensington Olympia Station, Olympia",51873.0,47582.0,-4291.0,99455.0
4e76152f6dee2e53,"Charlbert Street, St. John's Wood",50222.0,45938.0,-4284.0,96160.0
7066d2feb9ed58b1,"Page Street, Westminster",94011.0,98293.0,4282.0,192304.0
17f90c6e04836fc6,"Rampayne Street, Pimlico",86129.0,81870.0,-4259.0,167999.0
5184c9dbdf29ac8e,"Albert Gardens, Stepney",65200.0,60945.0,-4255.0,126145.0
6775f407d61354b6,"New Fetter Lane, Holborn",69342.0,65088.0,-4254.0,134430.0
644b7affaaeb3f37,"Embankment (Savoy), Strand",62282.0,66492.0,4210.0,128774.0
85f41a03da5ebbc4,"Sun Street, Liverpool Street",57278.0,61467.0,4189.0,118745.0
3b4bb93453e72da6,"Columbia Road, Shoreditch",86101.0,81934.0,-4167.0,168035.0
4387ae49cff84f96,"Lansdowne Walk, Ladbroke Grove",20224.0,16058.0,-4166.0,36282.0
be46596c9769480f,"Leonard Circus , Shoreditch",99769.0,103915.0,4146.0,203684.0
043df174aeba8d44,"Bank of England Museum, Bank",91354.0,95483.0,4129.0,186837.0
8a1ef7696422b4ce,"Kennington Cross, Kennington",111568.0,107460.0,-4108.0,219028.0
adb9871958ba558b,"Bouverie Street, Temple",47763.0,51859.0,4096.0,99622.0
e71469405a815a07,"Harford Street, Mile End",47211.0,43122.0,-4089.0,90333.0
499d2b52b30a4f67,"Rectory Square, Stepney",48728.0,44648.0,-4080.0,93376.0
10932032d0707644,"East India DLR, Blackwall",43940.0,48007.0,4067.0,91947.0
1411e79916f71426,"Penywern Road, Earl's Court",85328.0,81271.0,-4057.0,166599.0
f9334a7c00979249,"Blackfriars Station, St. Paul's",118905.0,122958.0,4053.0,241863.0
5353d756e809518f,"Waterloo Place, St. James's",81787.0,85837.0,4050.0,167624.0
8d2e80da2ffccc4f,"Granby Street, Shoreditch",91964.0,87953.0,-4011.0,179917.0
f5190340f7b93184,"Sugden Road, Clapham",53611.0,49632.0,-3979.0,103243.0
2af9d9e226450fc2,"Pembridge Villas, Notting Hill",53771.0,49818.0,-3953.0,103589.0
20bf332b5ffa1bfa,"Bonny Street, Camden Town",97682.0,93746.0,-3936.0,191428.0
